mode,trial,n_ablated,clean_acc,adv_acc
random,5,40,0.778247096092925,0.09477707006369426
random,5,42,0.7793030623020063,0.09477707006369426
random,5,44,0.7793030623020063,0.09477707006369426
random,5,46,0.7771911298838438,0.09477707006369426
random,5,48,0.778247096092925,0.09477707006369426
random,5,50,0.7771911298838438,0.09477707006369426
random,5,52,0.7771911298838438,0.09477707006369426
random,5,54,0.778247096092925,0.09477707006369426
random,5,56,0.7655755015839493,0.09477707006369426
random,5,58,0.7676874340021119,0.09477707006369426
random,5,60,0.7687434002111933,0.09477707006369426
random,5,62,0.7687434002111933,0.09477707006369426
random,5,64,0.7634635691657867,0.09477707006369426
random,5,66,0.7624076029567054,0.09477707006369426
random,5,68,0.764519535374868,0.09477707006369426
random,5,70,0.7676874340021119,0.09477707006369426
random,5,72,0.7719112988384371,0.09477707006369426
random,5,74,0.7719112988384371,0.09477707006369426
random,5,76,0.7697993664202746,0.09477707006369426
random,5,78,0.7697993664202746,0.09477707006369426
random,5,80,0.7708553326293559,0.09477707006369426
